zip_code,city,state,county,s2014_03,s2014_06,s2014_09,s2014_12,s2015_03,s2015_06,s2015_09,s2015_12,s2016_03,s2016_06,s2016_09,s2016_12,s2017_03,s2017_06,s2017_09,s2017_12
74116,Catoosa,OK,Rogers,82000,84900,85500,85500,85600,86300,83900,83900,82900,83900,88000,92300,95800,90800,90600,90500
74119,Tulsa,OK,Tulsa,89700,89100,91500,90600,91700,95100,98100,101200,102900,105300,102300,104000,104200,102600,103200,104700
74120,Tulsa,OK,Tulsa,131100,130600,131900,136400,137000,152000,157400,160900,164900,168300,174100,173900,177000,169200,168700,176200
74126,Tulsa,OK,Tulsa,43700,44700,45000,45700,44800,46000,48700,50700,50900,50500,51700,53800,58500,54600,51100,49600
74127,Tulsa,OK,Tulsa,56300,57400,59400,59700,60700,61100,62100,62400,62100,63300,65900,68300,71400,67700,66900,68800
74128,Tulsa,OK,Tulsa,74000,74900,74800,75700,76900,78800,79900,80300,81000,81000,81900,82400,84600,82200,82400,84600
74129,Tulsa,OK,Tulsa,90500,91500,91700,91900,94300,96500,97100,98300,97700,98100,100300,103100,107100,104900,105400,107100
74130,Tulsa,OK,Tulsa,54200,54400,54300,54700,56100,58800,57800,58500,59200,61000,63400,67200,71600,66300,64900,65000
74131,Sapulpa,OK,Creek,130000,132200,139900,144300,143800,147000,149100,158400,164300,168000,169600,169000,169200,169800,169100,169100
74132,Tulsa,OK,Tulsa,129700,130500,132600,134500,135800,140900,144300,146500,148600,150800,154800,157400,162000,159000,158100,161400
74133,Tulsa,OK,Tulsa,164000,165400,166900,167900,170100,173400,175000,176500,176200,177300,180200,183100,188400,184000,182000,183900
74134,Tulsa,OK,Tulsa,114500,114700,114700,115600,117400,122700,125400,125300,124800,126000,128300,131300,135400,132600,133400,136500
74135,Tulsa,OK,Tulsa,135300,136900,136900,137600,140100,144100,145600,147600,149700,151500,154200,156300,159100,154100,155200,157600
74136,Tulsa,OK,Tulsa,163500,164500,166800,169500,173100,180500,182100,183200,183500,183500,186500,190000,195500,189600,188800,191300
74137,Tulsa,OK,Tulsa,260700,263700,265800,267200,271000,278600,283600,283100,281600,284400,287300,293100,299900,290800,284100,285400
74145,Tulsa,OK,Tulsa,112100,112000,112600,112700,114600,117800,119900,119300,118600,120700,122000,123700,128900,124400,123800,127600
74146,Tulsa,OK,Tulsa,82600,82600,83100,82900,84200,85700,87000,88000,87900,87400,88300,89200,93400,92300,91300,93300
74330,Adair,OK,Mayes,109700,107600,108900,106100,107500,113100,122800,125100,127700,130000,132700,139400,137600,140500,143700,148100
74337,Chouteau,OK,Mayes,100100,99800,103800,106100,107600,109800,110900,113300,115200,117200,118400,119200,118700,118600,118400,119000
74339,Commerce,OK,Ottawa,50200,50500,48400,47900,49000,51400,51200,51900,48000,44300,46800,47400,48200,48400,48600,47900
74343,Fairland,OK,Ottawa,79500,77900,76200,78500,79300,80200,80000,81900,83400,86600,98700,105900,109200,114700,118900,118300
74344,Grove,OK,Delaware,146500,144300,142600,139100,138200,137400,139600,138000,140100,137500,135300,140900,142200,147000,152200,151100
74346,Jay,OK,Delaware,92200,95500,99000,94800,88200,82800,84600,84200,85800,85900,90700,95900,96600,99100,98700,96900
74352,Locust Grove,OK,Mayes,84900,84300,86500,86800,88700,91100,91800,93400,96500,98500,100500,102400,105000,105900,105700,106100
74354,Miami,OK,Ottawa,61700,57500,54700,56500,57000,60600,63000,63800,61600,61300,63800,65000,66300,66700,68100,68100
74361,Pryor,OK,Mayes,90600,89400,91400,93400,95700,98900,98100,101100,105400,108000,113900,116000,113800,115500,117700,117600
74365,Salina,OK,Mayes,84700,83600,86400,85800,87400,88900,90700,91400,94900,101500,101700,104000,106300,107500,107900,110000
74370,Wyandotte,OK,Ottawa,82200,80900,80900,88700,100500,103600,110600,111500,107200,105300,110400,115500,116200,128000,133800,129300
74401,Muskogee,OK,Muskogee,47100,49000,48400,48400,50200,50900,51100,48500,49100,51100,53500,57200,51100,46500,44900,45100
74403,Muskogee,OK,Muskogee,74700,76700,75300,74900,74800,76200,76500,77300,79200,79800,81300,83700,80500,75500,74400,74400
74427,Cookson,OK,Cherokee,91800,93000,97300,102300,105500,108100,110200,111000,112400,112400,111500,110300,111300,108400,109000,108600
74429,Coweta,OK,Wagoner,119800,122000,123800,126000,128600,128900,129300,131600,129800,133700,138200,142100,144000,138900,139900,140500
74432,Eufaula,OK,McIntosh,79400,80300,80700,83900,87100,89000,88700,89400,93500,99100,95700,103000,107300,99600,96000,96100
74434,Fort Gibson,OK,Muskogee,94500,94100,93200,94300,96000,101300,103700,104700,105400,108400,111100,119600,117000,111600,109800,109100
74435,Gore,OK,Sequoyah,79100,77100,78500,80900,85700,86400,89200,87800,87200,92000,92200,96000,95800,95500,97300,99800
74436,Haskell,OK,Muskogee,55500,57000,60300,58200,56900,58800,59600,59700,63500,64600,66600,75400,71600,65100,63700,62500
74437,Henryetta,OK,Okmulgee,51400,54200,55300,57200,59400,59700,59300,61900,61400,59000,58900,58100,59300,59100,56700,58400
74441,Hulbert,OK,Wagoner,82400,83200,84000,84800,88000,89100,92900,100000,103700,108300,110800,111100,107300,106000,101400,100700
74445,Morris,OK,Okmulgee,80800,79100,82000,85500,95100,102700,107200,108500,102700,95900,100800,103400,107800,112800,113000,113300
74447,Okmulgee,OK,Okmulgee,43100,45100,46300,47800,50100,49800,48800,51500,51800,49600,51400,50600,54500,57900,57700,58500
74450,Oktaha,OK,Muskogee,66700,66300,67900,65700,68400,73200,73100,73000,74300,75100,78100,80300,79500,74400,72800,73900
74451,Pettit,OK,Cherokee,87800,89000,93900,100400,103400,105300,107700,111900,112100,112500,111900,112800,113900,109300,109100,108100
74454,Porter,OK,Wagoner,110700,112700,116400,118600,123700,124400,123100,123400,120300,126400,136800,145300,151100,145000,143400,145400
74464,Tahlequah,OK,Cherokee,85000,85900,88800,91400,94900,93700,94600,99200,103400,106300,105400,103500,101300,103400,104200,103700
74467,Wagoner,OK,Wagoner,93500,92600,90000,88900,89000,90300,91900,96600,95800,101700,104600,105700,114800,109400,110100,109300
74471,Welling,OK,Cherokee,71900,72800,75700,77700,80000,81100,80200,81300,85900,87600,89200,88600,86100,82800,82500,81200
74501,McAlester,OK,Pittsburg,75600,75600,78100,80600,86300,92400,100200,103900,105300,103100,95800,92700,94100,95500,96000,96900
74547,Hartshorne,OK,Pittsburg,65400,67300,70800,71900,72500,73100,74500,82300,74000,69700,66800,65200,69100,74600,72300,73100
74554,Krebs,OK,Pittsburg,62500,63600,67000,65000,67600,71700,73400,81400,74900,72800,66900,64400,69200,73800,72400,73300
74561,Quinton,OK,Pittsburg,64200,66600,68600,69000,72900,76700,82800,88600,88200,87400,83400,81100,82000,86600,87100,86200
74571,Talihina,OK,LeFlore,49500,50000,54000,53800,55400,53700,54000,55800,59400,60500,60700,60300,62600,64600,64500,65600
74604,Ponca City,OK,Kay,109400,111500,115300,118100,120900,126600,130100,131400,130200,131000,133700,131100,130700,130500,130000,132100
74631,Blackwell,OK,Kay,33800,35300,37000,35700,37700,39700,41300,47400,50200,48800,51500,55600,56100,58500,55900,55500
74653,Tonkawa,OK,Kay,47000,51300,51300,48500,52200,54600,56500,60500,59900,65200,69200,69800,70800,68800,67300,69100
74701,Durant,OK,Bryan,85600,85200,84200,86500,88600,89400,93100,100000,103300,108000,110400,105500,109800,112200,113000,116700
74726,Bokchito,OK,Bryan,76400,76500,78200,81000,80500,80100,80800,83800,89200,94100,93600,94700,102100,108000,111800,115700
74728,Broken Bow,OK,McCurtain,69100,76000,77900,76100,75100,77900,77600,85900,93000,99600,105500,106900,95100,86900,82300,81000
74730,Calera,OK,Bryan,97700,96900,95500,96100,98300,100800,102500,105400,110000,114500,116400,112500,114000,117000,118000,123100
74733,Colbert,OK,Bryan,76600,76900,78400,82600,84300,84900,87000,90700,95400,99800,98300,99000,106500,112200,115700,117200
74745,Idabel,OK,McCurtain,63900,69400,68200,69300,70500,70000,71500,71400,73700,78800,76300,71500,69700,67400,65300,66700
74801,Shawnee,OK,Pottawatomie,60000,59200,61000,63400,64500,65700,66600,67000,70100,74700,77700,78500,77700,77000,75800,75700
74804,Shawnee,OK,Pottawatomie,100700,96000,97000,102000,106600,112900,120700,124100,122300,123900,124900,125600,129000,132800,131500,130700
74820,Ada,OK,Pontotoc,76600,75900,75900,76700,76500,83100,84700,85800,87500,94300,99400,101000,103400,105500,104700,106600
74824,Agra,OK,Lincoln,74300,78000,82900,87800,87400,88500,93600,100100,104300,101600,94500,94900,104100,115300,120100,119200
74825,Allen,OK,Pontotoc,65200,66200,68700,70500,69400,73200,76800,80900,81700,82500,85000,82600,83500,83600,83300,87000
74826,Asher,OK,Pottawatomie,50700,51200,52300,57800,64000,66200,67300,65800,64900,67300,73300,77800,78300,79700,79700,77700
74834,Chandler,OK,Lincoln,76700,81900,90100,91400,93100,94400,95700,101600,105100,104500,98400,100400,107500,117100,122500,121700
74840,Earlsboro,OK,Pottawatomie,64200,63900,65900,69900,73400,76600,78800,81700,84800,88700,92300,94800,94600,93600,92300,89500
74849,Konawa,OK,Seminole,46300,51200,54700,59300,64200,68300,74100,77300,77800,75700,72400,71300,72600,74600,78300,76000
74851,McLoud,OK,Pottawatomie,79600,79400,80100,82900,87600,92700,97000,101200,101500,103800,108800,113200,116200,116900,117900,115700
74852,Macomb,OK,Pottawatomie,62500,61800,63000,66500,70400,74400,75200,76000,77600,81100,83200,87000,90200,90100,92900,91400
74854,Maud,OK,Pottawatomie,48800,50400,50800,53100,56800,61900,64300,64800,67700,70500,74300,77900,76600,77800,77600,74400
74855,Meeker,OK,Lincoln,75200,78000,87100,89800,90000,91900,96000,105700,112300,114200,107400,108300,118300,127700,130800,128800
74857,Oklahoma City,OK,Oklahoma,104100,104300,102800,101900,100500,101400,107900,115200,114800,118400,123100,129100,136400,132700,130900,128900
74864,Prague,OK,Lincoln,70300,72100,75900,76300,78000,79800,84900,90800,94500,94700,90600,92500,98900,107200,112100,110900
74868,Seminole,OK,Seminole,51400,53000,54100,55300,55700,59400,61600,65800,64400,62800,64000,65400,66100,64600,64300,64200
74871,Stonewall,OK,Pontotoc,91900,85200,83700,82100,81500,91500,98900,104400,107000,104000,101900,105200,105700,110400,112900,114600
74872,Stratford,OK,Garvin,66700,69100,71100,73400,79000,79000,79200,85800,88400,97600,108800,101500,100700,100400,100600,105200
74873,Tecumseh,OK,Pottawatomie,64100,62600,65400,67900,70500,72400,73800,76100,79300,82700,82800,84100,84100,86000,86000,85500
74878,Wanette,OK,Pottawatomie,59400,59000,61400,65700,69100,72000,72000,72100,73900,78900,81100,84000,85800,85300,86300,84700
74881,Wellston,OK,Lincoln,71100,75000,83700,87400,87000,87400,89800,97400,101900,106900,104700,105500,113700,121900,124400,122800
